Ranking,Tema,Erro Quantização (QE),Frequência,Neurônio
1,soros,1.0030,2,15_1
2,polo base,0.9904,2,15_0
3,ine,0.9792,2,7_12
4,ator,0.9789,1,17_0
5,cinema,0.9788,1,7_12
6,cor,0.9697,1,7_12
7,uso api,0.9670,1,7_12
8,pre-natal,0.9451,4,12_5
9,periodontia,0.9390,1,14_3
10,obitos,0.9336,2,14_2
11,soros e diluentes,0.9156,1,6_11
12,arcada,0.9141,1,15_1
13,diabetes mellitus,0.9140,1,7_12
14,dengue,0.9135,1,7_12
15,cep,0.9078,1,7_12
16,temporal processos,0.9063,1,4_3
17,status problema,0.9060,3,7_11
18,reforma agraria,0.9047,1,15_1
19,lesoes,0.8962,2,6_11
20,ator papel,0.8931,2,15_2
21,diabetes,0.8931,6,7_12
22,autonomia,0.8917,1,15_2
23,covid-19,0.8899,2,7_12
24,cbo 2002,0.8887,2,8_12
25,censo,0.8870,2,16_1
26,parto,0.8863,2,15_1
27,linguistica,0.8852,1,15_1
28,endereco,0.8844,1,7_1
29,agronegocio,0.8838,1,15_1
30,energia solar,0.8826,3,15_1
31,economia,0.8816,1,16_15
32,tipos de paredes,0.8770,1,15_1
33,salario minimo,0.8763,1,14_0
34,cbo,0.8760,1,7_12
35,sexo,0.8749,1,15_1
36,beneficiarios bolsa familia,0.8746,2,15_1
37,anatomia,0.8739,1,14_2
38,tipos de materiais de parede,0.8736,2,3_11
39,tipos de agua,0.8733,1,14_0
40,tipos de pavimento,0.8685,1,15_0
